Step,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,neutrons_per_cycle,power_normalization_value,DEM_step_increment,threshold_fuel,time_step
66,825.7919999999991,3.3005275779376464,1563.0,323.0,1.0202226697063628,0.0005792426522462,0.0005909564850824,50000,10000000.0,1,72,12.512
67,838.3039999999991,3.3505355715427623,1563.0,321.0,1.0197473011952451,0.0005415197431422,0.0005522132966132,50000,10000000.0,1,72,12.512
68,850.815999999999,3.4005435651478777,1563.0,320.0,1.0210386929758726,0.0005074670020222,0.0005181434444732,50000,10000000.0,1,72,12.512
69,863.327999999999,3.4505515587529936,1563.0,296.0,1.0193390608840738,0.0005911590330077,0.0006025914935392,50000,10000000.0,1,72,12.512
70,875.839999999999,3.500559552358109,1563.0,323.0,1.0197668574212426,0.0006054560082723,0.0006174239708627,50000,10000000.0,1,72,12.512
71,888.351999999999,3.5505675459632253,1563.0,310.0,1.019048101109235,0.00060175261053,0.0006132148550981,50000,10000000.0,1,72,12.512
72,900.8639999999988,3.6005755395683408,1563.0,309.0,1.0204991246746271,0.0005196683545538,0.0005303211009433,50000,10000000.0,1,72,12.512
73,913.3759999999988,3.6505835331734566,1563.0,282.0,1.0203249052072614,0.0005276848229188,0.0005384099669239,50000,10000000.0,1,72,12.512
74,925.8879999999988,3.700591526778573,1563.0,290.0,1.0197769711434126,0.0005677049992091,0.0005789324845964,50000,10000000.0,1,72,12.512
75,938.3999999999988,3.750599520383688,1563.0,281.0,1.018351658482625,0.0005521417402168,0.0005622744568673,50000,10000000.0,1,72,12.512
76,950.9119999999988,3.800607513988804,1563.0,308.0,1.0178144816241144,0.0005671985013216,0.0005773028486006,50000,10000000.0,1,72,12.512
77,963.4239999999988,3.85061550759392,1563.0,278.0,1.0172548591559922,0.0005787097376855,0.0005886952927015,50000,10000000.0,1,72,12.512
78,975.9359999999988,3.900623501199036,1563.0,305.0,1.0177676861181104,0.000574149765373,0.0005843510781889,50000,10000000.0,1,72,12.512
79,988.4479999999986,3.950631494804152,1563.0,283.0,1.0162084749645168,0.0005619191352197,0.000571026987455,50000,10000000.0,1,72,12.512
80,1000.9599999999988,4.000639488409267,1563.0,271.0,1.0180457707448431,0.0005508210813393,0.0005607610722946,50000,10000000.0,1,72,12.512
81,1013.4719999999986,4.050647482014383,1563.0,274.0,1.0151579039494725,0.0005440672174621,0.0005523141360865,50000,10000000.0,1,72,12.512
82,1025.9839999999986,4.100655475619498,1563.0,298.0,1.0161957063518126,0.0005724754907573,0.0005817471356992,50000,10000000.0,1,72,12.512
83,1038.4959999999985,4.150663469224615,1563.0,250.0,1.0147950868389617,0.0005302212205856,0.0005380658895881,50000,10000000.0,1,72,12.512
84,1051.0079999999984,4.20067146282973,1563.0,282.0,1.0151558398327398,0.0005547683588234,0.000563176339214,50000,10000000.0,1,72,12.512
85,1063.5199999999984,4.250679456434846,1563.0,278.0,1.0127052917510095,0.0005284479796322,0.0005351620653887,50000,10000000.0,1,72,12.512
86,1076.0319999999983,4.300687450039962,1563.0,255.0,1.0126332829483973,0.0005321774257657,0.0005389005737641,50000,10000000.0,1,72,12.512
87,1088.5439999999985,4.350695443645077,1563.0,294.0,1.0137117779855007,0.0005617430345029,0.0005694455302769,50000,10000000.0,1,72,12.512
88,1101.0559999999984,4.400703437250193,1563.0,287.0,1.0114557907964647,0.0005842698468183,0.0005909631199521,50000,10000000.0,1,72,12.512
89,1113.5679999999984,4.450711430855309,1563.0,309.0,1.012089875255635,0.0005696765699061,0.0005765638885723,50000,10000000.0,1,72,12.512
90,1126.0799999999983,4.500719424460425,1563.0,261.0,1.0115027144770088,0.0005604871675399,0.0005669342913962,50000,10000000.0,1,72,12.512
91,1138.5919999999985,4.550727418065541,1563.0,274.0,1.0101683937465562,0.0005843392308271,0.0005902810222077,50000,10000000.0,1,72,12.512
92,1151.1039999999982,4.600735411670656,1563.0,276.0,1.0105894311281274,0.0005504895240429,0.0005563188949445,50000,10000000.0,1,72,12.512
93,1163.6159999999982,4.650743405275772,1563.0,280.0,1.0105198392687658,0.0005509775637508,0.0005567737591622,50000,10000000.0,1,72,12.512
94,1176.127999999998,4.700751398880888,1563.0,302.0,1.009824316272699,0.0005977714952963,0.0006036441915249,50000,10000000.0,1,72,12.512
95,1188.639999999998,4.750759392486003,1563.0,325.0,1.0088932720570063,0.0005780991198587,0.0005832403126075,50000,10000000.0,1,72,12.512
96,1201.151999999998,4.80076738609112,1563.0,291.0,1.0085259430964766,0.0005413701032139,0.000545985793908,50000,10000000.0,1,72,12.512
97,1213.663999999998,4.850775379696235,1563.0,286.0,1.0094640766357292,0.0005216726656755,0.0005266098157623,50000,10000000.0,1,72,12.512
98,1226.175999999998,4.900783373301351,1563.0,286.0,1.0078925510676426,0.0005297673568307,0.0005339485727484,50000,10000000.0,1,72,12.512
99,1238.687999999998,4.950791366906467,1563.0,319.0,1.0089648738077406,0.0005614775070685,0.0005665110820652,50000,10000000.0,1,72,12.512
100,1251.199999999998,5.000799360511582,1563.0,305.0,1.0074367597837832,0.0005843735858259,0.0005887194318077,50000,10000000.0,1,72,12.512
