,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
827,3.0,8394,68.83736748518973,0,1,0.0,7,44.72143434535741,76.76297608655916,0.0,0.0,0.020832443915994835,0.0,0.0,0.0307346416699706,0.0,0.0,0.06927636090530394,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
840,3.0,3747,93.79673948982587,1,2,64.8,0,45.20915459666849,17.769058711601467,1.1676870949426237e+20,2.5247504981205596e+18,0.0216218069811298,4.5953170810987766e+19,1.6864671901418703e+18,0.036699691454993626,3060264558.0248036,209265505.29044297,0.06838150797835266,0.0037612653749496535,0.01922699053663587,1.6581876091126294e-05,1.586904342278155e-08,6.138686299563952e-09,1.2048602624299105e-05
862,3.0,7385,72.77170889250745,1,2,64.8,0,40.99823165909641,22.829580263404118,1.1473786934756345e+20,2.539240390319959e+18,0.02213079608989516,5.279422719819987e+19,1.7429077732855954e+18,0.033013226365495946,2943717986.631197,205496898.05064642,0.0698086226275425,0.003770533515466758,0.019223112198969383,2.026193076985389e-05,5.152228831287345e-09,2.906404720437228e-09,1.1598384023920692e-05
921,3.0,10171,62.91861065218609,1,2,64.8,0,42.03940636934088,63.22199613209358,1.3233375276363545e+20,2.838683825009516e+18,0.021450943283379553,6.663136036156041e+19,2.031460351416739e+18,0.03048805157801772,3395868926.4450736,225750360.23806673,0.066477936907415,0.003735633201496772,0.019222474259880412,2.0376173766315074e-05,1.828399177872391e-08,9.07622525641697e-09,1.3376505553640916e-05
946,3.0,9635,62.026609192241544,0,1,0.0,7,40.89387313844496,77.32036310232787,0.0,0.0,0.021095778554679593,0.0,0.0,0.030389246771438054,0.0,0.0,0.06737162195058745,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
966,3.0,17098,53.39170770180332,1,2,64.8,0,27.79407233234114,46.89998514462196,1.5657433194738565e+20,3.0862330092897347e+18,0.019710976702917146,8.098726568180507e+19,2.2658073253432077e+18,0.027977328364751218,3725971827.6097465,237837805.82395095,0.06383242193662174,0.0037112927008370465,0.01921174096846068,2.982015537757664e-05,2.292150508832905e-08,1.519460007687886e-08,1.467892650576628e-05
972,3.0,11697,53.10734991249973,0,1,0.0,7,36.80722435694334,77.82086402609318,0.0,0.0,0.020918876787375966,0.0,0.0,0.02968359295165604,0.0,0.0,0.06770939329349006,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
993,3.0,15209,51.14708474734238,1,2,64.8,0,32.016450434061014,39.54561741490411,1.554008318563128e+20,3.034391973082136e+18,0.019526227349206244,7.819595144704305e+19,2.2473766300956193e+18,0.02874031952431219,3525348239.2000237,226539818.1177353,0.06426026671598889,0.003724827119783896,0.019213201707742537,2.8655877083932246e-05,1.885128028541787e-08,1.2590365654549735e-08,1.389550675756211e-05
1018,3.0,15995,46.14538025126358,1,2,64.8,0,24.148266489069176,52.79952985797288,1.4061219834717456e+20,2.7939898092405043e+18,0.01987018083837992,6.923519929883484e+19,2.0160692970741194e+18,0.02911913762784601,3364743512.2223167,215638939.11787653,0.06408777915302472,0.0037381705196860705,0.01921465457481659,2.7915819677326854e-05,5.705774231631408e-08,1.8515047409666595e-09,1.3237319503997529e-05
1039,3.0,14591,55.644443028294766,1,2,64.8,0,37.355684575518616,38.16570733899279,1.570541656949681e+20,3.1005949332846633e+18,0.019742201167122587,7.68862178127719e+19,2.2428080623213978e+18,0.029170482384540383,3831643627.419603,241345440.2421154,0.0629874444781411,0.0037019898934189254,0.019210560381446785,3.0983466081531223e-05,2.7802848005553362e-08,2.0675684550045138e-08,1.5106763197599208e-05
1043,3.0,10464,60.794791914924176,1,2,64.8,0,43.70622870181687,53.48309586146676,1.4734403478321385e+20,3.01492419038952e+18,0.020461800132087836,7.098243356709089e+19,2.1726994207955384e+18,0.03060897339821345,3558763199.6024027,237316156.79583666,0.06668500922521353,0.0037226765323863814,0.019212215896336492,2.967956704128986e-05,3.5009848295382086e-08,2.2927878977614358e-08,1.4042864551474089e-05
1049,3.0,5401,80.46972012523018,0,1,0.0,7,42.02995525132854,75.44678864655604,0.0,0.0,0.021400611352166796,0.0,0.0,0.03368368592480297,0.0,0.0,0.06811760978004135,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
1078,3.0,13679,50.05485138759781,1,2,64.8,0,34.917175154982125,60.0326794220585,1.4070876128091518e+20,2.8088798183747246e+18,0.019962366186757858,6.895582327176197e+19,2.0643534491827136e+18,0.029937333081310406,3423533697.03401,222054028.86608645,0.0648610612649917,0.0037347203693694243,0.0192159778539416,2.642881686466708e-05,1.4434561765494486e-08,7.835632579108202e-09,1.3474988905292974e-05
1122,3.0,10528,57.30683012223803,1,2,64.8,0,38.74360325912574,18.75934492114742,1.3296205189229357e+20,2.754910440657254e+18,0.02071952411571446,6.353090512941375e+19,1.9746509974104947e+18,0.031081738775609925,3452784094.934717,228120098.5246602,0.06606845150246017,0.0037316878880344906,0.019217604417324542,2.492370191752877e-05,3.040387930886394e-08,7.813837805504797e-09,1.3621160791422846e-05
1148,3.0,8181,70.2954678869574,1,2,64.8,0,45.28415884622912,42.44809879362204,1.4326785861524375e+20,2.9891291776160855e+18,0.02086392025753389,7.087733067581512e+19,2.1928708657436032e+18,0.030938959535222143,3494219707.1119866,234147615.72994325,0.0670099865939652,0.0037287195120580224,0.019214136616688353,2.7803914998732975e-05,3.7926212760653275e-08,2.219661898987425e-08,1.376922676163216e-05
1213,3.0,13235,53.661449345790004,1,2,64.8,0,35.38605852609284,19.791729313093523,1.3128996044724819e+20,2.715389720636691e+18,0.020682386614989685,6.617355955032146e+19,1.9685742780820467e+18,0.029748653260598005,3101263233.8732266,207288624.95690563,0.0668400613958909,0.003757828319022094,0.01921701018547801,2.5694225196227593e-05,1.382891253368014e-08,2.7522057769269365e-09,1.2215619215402136e-05
1223,3.0,4568,86.49594195139365,1,2,64.8,0,41.48440209008577,64.6887031170944,1.2265444878758614e+20,2.617602725749908e+18,0.021341278295441947,5.236291522523739e+19,1.8203434712416965e+18,0.03476398255161211,3106789874.60642,212463353.57026294,0.06838677932706298,0.003757186707983472,0.019224945486753194,1.8464334112430307e-05,1.0376085460906512e-08,3.8913459153485846e-09,1.225332043218059e-05
1226,3.0,18401,50.178310456321675,1,2,64.8,0,9.872558276578678,37.133951282827475,1.5966029193823843e+20,3.022914304264952e+18,0.018933413358872657,8.115270777128994e+19,2.2630243065627118e+18,0.02788599873882853,3755030112.907991,235856643.3454788,0.0628108527105327,0.0037086476106619917,0.019208733433313096,3.30903964089586e-05,3.8795062559682616e-08,9.562278259004162e-09,1.4782990063931843e-05
1282,3.0,13104,50.2525113271497,1,2,64.8,0,35.20274068997499,71.94804050111343,1.4565401119999595e+20,2.9198885893147054e+18,0.02004674341103753,7.0431918125662626e+19,2.0716910392826394e+18,0.029414093700904,3475957339.13598,225211031.5383413,0.06479108043205216,0.0037296502027907674,0.019215357503030602,2.704840018051176e-05,1.639977438663675e-08,7.673458048249949e-09,1.3696176381339348e-05
1320,3.0,15455,49.375017946065775,1,2,64.8,0,28.55067085852199,13.969095536160628,1.462109749419047e+20,2.863070117581065e+18,0.019581772973736575,7.117554791498873e+19,2.0998139377752463e+18,0.02950190057241625,3471588020.595741,221570049.35835308,0.06382383164242243,0.003729984083841497,0.01921263619910915,2.9504750647343472e-05,2.2494626802006446e-08,5.5931006317748866e-09,1.3672831710620844e-05
1422,3.0,16128,56.93792183540265,1,2,64.8,0,34.75437066116334,60.149852116825194,1.640016284039202e+20,3.194620900966026e+18,0.019479202322906106,8.231228370888206e+19,2.3847300200515313e+18,0.02897173924229492,3920360492.293523,249256632.5919274,0.0635800286942758,0.003696104540188693,0.01921037986670924,3.09330285710903e-05,2.7784219946445693e-08,2.476562459871178e-08,1.5452277000627585e-05
1443,3.0,3997,91.41062908867282,1,2,64.8,0,44.40428333462385,68.16506871338281,1.2481445311749557e+20,2.7540685038425e+18,0.02206530121355357,4.6359511819804475e+19,1.715298275334508e+18,0.03699992100869673,3151211606.0100245,218036925.85484284,0.06919145811693524,0.003754869752016596,0.019225484819571644,1.7963025946195012e-05,7.061609742118211e-09,9.581179010276997e-09,1.2410047733337429e-05
1446,3.0,6484,76.47658493832225,1,2,64.8,0,42.37241724848623,42.95504833265284,1.2185651707075099e+20,2.6383223504326615e+18,0.02165105661850509,5.083948271834168e+19,1.7018216387488893e+18,0.033474409017440934,2994095938.4456,209940482.09289417,0.07011815466470517,0.0037665523235399364,0.019224256979270375,1.9212003944098478e-05,4.61641303300204e-09,5.43445634580855e-09,1.1783639189537376e-05
1471,3.0,15620,47.66027172069272,0,1,0.0,7,27.36414739636177,75.58216356443737,0.0,0.0,0.019216887934740617,0.0,0.0,0.028636905372492586,0.0,0.0,0.06347761459038857,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
1474,3.0,17173,49.3538012210952,0,1,0.0,7,22.731857672780336,79.23263699888093,0.0,0.0,0.01914010332719605,0.0,0.0,0.028015538063730805,0.0,0.0,0.06196000105444619,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
1494,3.0,16583,49.30127543858723,1,2,64.8,0,24.847000639205493,34.51118093154211,1.5701630629191752e+20,2.9927130845646e+18,0.01905988718777198,7.782900164193863e+19,2.1921668955485156e+18,0.028166452727144492,3778021543.232575,232390315.19325405,0.06151111435812903,0.003706423662175949,0.01921276836111545,2.9404975309241726e-05,2.3975293665038037e-08,5.8935597968202664e-09,1.4877297256868153e-05
1567,3.0,6525,72.17570662848851,1,2,64.8,0,39.09785268784153,28.918797813650478,1.1279651328334845e+20,2.4627464422337654e+18,0.021833533418247314,5.366119548501445e+19,1.7703378667318282e+18,0.03299102546506286,2772361217.992761,200157817.01916498,0.07219759666241574,0.003782724548018473,0.01922215099768328,2.1180894342116146e-05,5.292622547649893e-09,3.937665332749652e-09,1.0924590667244807e-05
1570,3.0,18608,50.64400844978393,1,2,64.8,0,5.907286439302197,67.45421932247724,1.6682181206284098e+20,3.1366731802053745e+18,0.01880253631955397,8.353073781164848e+19,2.2506215315421524e+18,0.026943632853058556,3901298502.456859,239319216.98872533,0.0613434775211415,0.0036959462811433754,0.019204743963401816,3.6685312728672086e-05,4.9251004172833734e-08,1.1726561216232173e-08,1.5380702259060655e-05
1600,3.0,12495,53.04828962947605,1,2,64.8,0,37.4532771949527,9.048781634456086,1.3629297995154696e+20,2.797827552188575e+18,0.020528038591446317,6.818342244006825e+19,2.0032263257759598e+18,0.029379961493378428,3305070015.674654,215528380.57569677,0.06521144168006426,0.003741665435951218,0.019213706674756154,2.88579578732433e-05,2.239778320532159e-08,3.2493901313539748e-09,1.3026959782993172e-05
1610,3.0,19054,58.4771621484186,1,2,64.8,0,18.197243643604025,42.42260155555979,1.6534780397620756e+20,3.149414322463588e+18,0.019047209861443138,8.471636206051977e+19,2.344661324775948e+18,0.02767660541302477,3876260239.7464194,241137285.54353693,0.06220874518974811,0.0036988507616772573,0.019206496518636238,3.4572951304232945e-05,7.674000440304153e-08,2.1131629924312333e-08,1.5280644709046392e-05
1611,3.0,16241,49.67079341251672,1,2,64.8,0,26.431500563278536,27.949699019738034,1.6454015493458025e+20,3.126765937353088e+18,0.01900305696561586,8.10683722639798e+19,2.2604964636729024e+18,0.02788382695426689,3772708824.4495816,240581964.95104933,0.06376902542595478,0.003706587979470801,0.01920906639948976,3.263274407486093e-05,4.2322445015930896e-08,1.8258301420004788e-08,1.4853657081321037e-05
1681,3.0,13681,54.03309619721464,1,2,64.8,0,37.48787391862481,37.33688132016885,1.4592594787341912e+20,2.905595973927374e+18,0.01991144149666776,7.246730409439797e+19,2.1268775634319741e+18,0.029349478223468103,3599877102.523446,232685000.43173504,0.06463692892977575,0.003720543202757169,0.01921485623721513,2.755624147353918e-05,2.6600093247840656e-08,1.0397400802525079e-08,1.4170934990622982e-05
1745,3.0,9806,61.882912931880455,1,2,64.8,0,42.78883484024639,17.04298543441964,1.349983498332583e+20,2.819159109047073e+18,0.020882915328440128,6.372610003827775e+19,2.0032406008386176e+18,0.031435167060833005,3375166545.0500646,226646907.1378938,0.06715132545689886,0.0037363488496697417,0.019220881387910258,2.2019108072721613e-05,1.4104096704522049e-08,1.0320580527651212e-08,1.3311993043306387e-05
1848,3.0,11732,54.05484708905301,0,1,0.0,7,39.633235750929956,78.57498289946409,0.0,0.0,0.021044371948859577,0.0,0.0,0.03058464818486863,0.0,0.0,0.06686133693117213,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
