,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370,discard_step
15778,3.0,6360,68.6014398085316,1,1,43.2,0,33.90442478906341,72.58758794520169,6.244682186718237e+19,1.4624071527917425e+18,0.023418440027294332,2.833394511463073e+19,9.88820847500662e+17,0.034898805778728885,1580465737.0242782,117266506.48762421,0.07419743670521776,0.0038722557704428157,0.01923344769713878,1.0841508291099657e-05,1.1358346515077729e-09,4.05884282825957e-09,6.229083622656998e-06,4
16791,3.0,4134,81.48758103361216,1,1,43.2,0,35.127384793543385,75.52454443510791,6.622392715656925e+19,1.5519622309097382e+18,0.02343506792100274,2.614384931298763e+19,9.701735562826858e+17,0.03710905554373461,1723545811.7769966,123374946.49784265,0.07158205233352144,0.0038623792904022205,0.01923543514689506,8.933734526311608e-06,7.514512966578748e-10,4.712940575528642e-09,6.792967197929737e-06,4
16812,3.0,12604,39.07895543216372,1,1,43.2,0,25.86876263540612,77.19360390252926,9.1017363130251e+19,1.8443686266732268e+18,0.02026392067669364,4.829436233945581e+19,1.408080096355642e+18,0.02915620018871769,2151536740.235883,144278427.82352746,0.06705831470380075,0.003828528664645738,0.019222922472838477,2.0615421893623354e-05,7.959468736503058e-09,1.2968984320657622e-08,8.48302070141791e-06,4
16955,3.0,7636,64.31869091258748,1,1,43.2,0,36.275525298655154,72.21215884890621,8.180219000676208e+19,1.7469387553007324e+18,0.02135564775412888,4.062657685816156e+19,1.2879205066596477e+18,0.031701428135482074,1990098513.5200567,138953356.7635167,0.0698223509135425,0.003841623006503403,0.019228938022614418,1.4783269499473457e-05,2.1603877971894805e-09,1.3602743910587016e-08,7.840990271681555e-06,4
17225,3.0,2639,96.35810816258986,1,1,43.2,0,35.70175835467326,76.74237784353787,7.3792860085699e+19,1.6700076911181527e+18,0.022631019981861348,2.191535179809885e+19,9.398367444852028e+17,0.042884857753765715,1871065921.3406224,133054800.86378151,0.07111176540933817,0.003851390911805873,0.019235253957377383,9.152567510979458e-06,1.3530542035870953e-09,7.854840053780612e-09,7.374969598958668e-06,4
18448,3.0,8283,54.89102194438654,1,1,43.2,0,28.922156716642604,73.91185441310878,7.928236103928786e+19,1.68307067193452e+18,0.021228816219291013,3.6285908044362547e+19,1.1536824275865656e+18,0.031794227835668126,1886193410.8702288,134945035.83349502,0.07154358352425573,0.0038490623261749294,0.019230904820944843,1.3194425047043434e-05,3.4636773934426516e-09,5.9592923923068575e-09,7.438512686522136e-06,4
19448,3.0,5802,72.77002183775829,1,1,43.2,0,33.91901097359256,74.73149843246391,5.966913527823111e+19,1.402920690451921e+18,0.023511664513156498,2.8758901697715364e+19,9.801246549285389e+17,0.0340807401211153,1433363686.6863892,111827685.26905598,0.07801766314282466,0.0038838666749696537,0.019236133937416425,8.386876761512473e-06,5.814668433126219e-10,2.852834561172476e-09,5.652660362239333e-06,4
19683,3.0,8238,61.791643043759095,1,1,43.2,0,38.64278790731681,74.6730633998993,8.702755893861776e+19,1.9051732937203423e+18,0.0218916090139228,4.498755411303588e+19,1.3907937833724882e+18,0.030915078865545238,2105381610.7262874,149891814.79232422,0.07119460625507053,0.00383294762631618,0.01922667313375288,1.6740203706034943e-05,3.496889955099996e-09,2.5371579116136716e-08,8.303891788845704e-06,4
19743,3.0,6175,71.86583304979044,1,1,43.2,0,36.32416066503109,74.59497461080231,8.05612305087958e+19,1.7523325108125437e+18,0.021751560890336964,3.672286046000108e+19,1.176698494236387e+18,0.032042669865493166,2016969548.3336563,137881639.96611404,0.06836079408339438,0.0038400052992268543,0.019229099086696847,1.4844038706860471e-05,6.521315837879875e-09,7.056401660132473e-09,7.952280329836012e-06,4
20135,3.0,5396,74.98815994932245,1,1,43.2,0,36.40064372107585,75.39276004163453,7.50017108815217e+19,1.6695335625104023e+18,0.022259939711878337,3.048190353519346e+19,1.1004330732763766e+18,0.03610119269637641,1929976844.7038693,131833730.54684925,0.06830845194263327,0.0038458784739807675,0.019232049899728695,1.2095984014284513e-05,1.5803230009014316e-09,6.073049310017928e-09,7.616810737985352e-06,4
